"state","year","url","fetched_on","format","rows","certified","notes"
"Mississippi","2020","https://www.sos.ms.gov/elections/electionresults/2020%20GE%20Statewide%20Recapitulation%20Report.pdf","2026-08-12","pdf","82","yes","SoS statewide recapitulation report, 'United States-President' section, pages 2-9. Counties are printed as rotated column headers and candidates as rows, so the table is read from PDF word coordinates; every figure is matched to its column and the result is checked against the report's own TOTAL column. total_votes sums every presidential candidate row. The report spells Jefferson Davis County as 'Jeff Davis'; county_name keeps the state's spelling and county_fips is the Census code. Headed 'Official Results' / 'Official Recapitulation'."
"Mississippi","2024","https://www.sos.ms.gov/elections/electionresults/2024%20Official%20Statewide%20Results.pdf","2026-08-12","pdf","82","yes","SoS statewide recapitulation report, 'United States-President' section, pages 2-9. Counties are printed as rotated column headers and candidates as rows, so the table is read from PDF word coordinates; every figure is matched to its column and the result is checked against the report's own TOTAL column. total_votes sums every presidential candidate row. The report spells Jefferson Davis County as 'Jeff Davis'; county_name keeps the state's spelling and county_fips is the Census code. CERTIFICATION: the SoS publishes this under 'OFFICIAL 2024 GENERAL ELECTION CERTIFIED RESULTS' and Secretary Michael Watson certified the presidential vote on 2024-12-02 under Miss. Code 23-15-603/-605/-783 -- so the state does call it certified, whatever AP flags. But the certification document itself gives statewide totals only (Harris 466,668 / Trump 747,744); this recapitulation, generated 2024-11-22, is the only county-level document, and it predates post-canvass updates to Coahoma and Pike, so it runs about 1,300 votes under the certified Harris total. County figures are as this report prints them."
"Missouri","2020","https://www.sos.mo.gov/CMSImages/ElectionResultsStatistics/ActualResults-November32020.pdf","2026-08-12","pdf","116","yes","SoS 'OFFICIAL RESULTS' canvass PDF, U.S. President table, parsed with pdftotext -layout. total_votes is the PDF's own Total column (all candidates plus write-ins). Missouri reports KANSAS CITY as a separate returning jurisdiction from the four counties it straddles (Jackson, Clay, Platte, Cass); it has no Census FIPS and county_fips is left empty per SPEC rule 5, so the four counties it overlaps are correspondingly short. St. Louis City (29510) is distinct from St. Louis County (29189). 116 rows = 114 counties + St. Louis City + Kansas City."
"Missouri","2024","https://www.sos.mo.gov/CMSImages/ElectionResultsStatistics/ActualResults-November52024.pdf","2026-08-12","pdf","116","yes","SoS 'OFFICIAL RESULTS' canvass PDF, U.S. President table, parsed with pdftotext -layout. total_votes is the PDF's own Total column (all candidates plus write-ins). Missouri reports KANSAS CITY as a separate returning jurisdiction from the four counties it straddles (Jackson, Clay, Platte, Cass); it has no Census FIPS and county_fips is left empty per SPEC rule 5, so the four counties it overlaps are correspondingly short. St. Louis City (29510) is distinct from St. Louis County (29189). 116 rows = 114 counties + St. Louis City + Kansas City."
"Montana","2020","https://sosmt.gov/wp-content/uploads/State_Canvass_Report.pdf","2026-08-12","pdf","56","yes","SoS '2020 Statewide General Election Canvass', PRESIDENT table (Biden/Jorgensen/Trump), parsed with pdftotext -layout. Linked as 'General Results' for 2020 from sosmt.gov/elections/archives/. sosmt.gov answers 403 to scripted requests, so the PDF was fetched through a browser and saved to raw/MT_2020.pdf. County rows reconciled to the canvass's own Total row. total_votes = the three certified tickets; Montana canvasses presidential WRITE-INS in a separate report (State_Canvass_Writein_by_County.pdf) which is NOT folded in here, so total_votes is short by the write-in count (order of tens of votes statewide). The canvass writes 'Lewis & Clark'; the Census name is 'Lewis and Clark County' (30049)."
"Montana","2024","https://sosmt.gov/docs/31/post-election/66775/2024-general-election-report-state-canvass","2026-08-12","pdf","56","yes","SoS '2024 Statewide General Election Canvass', page 2, 'PRESIDENT & VICE PRESIDENT' (Harris / Stein / Oliver / Trump / Kennedy). Linked as 'Statewide' from sosmt.gov/elections/results/. sosmt.gov answers 403 to every scripted request, and the browser would not release the file to disk, so the table was read out of the PDF in the browser with pdf.js using glyph coordinates and written to raw/MT_2024_president.psv, which this parser reads. Its 56 county rows sum to the canvass's own Total row on all five candidate columns, and that statewide total (602,963) matches the independent AP count to the vote. total_votes = the five certified tickets; there is no write-in column on this table. County names are the canvass's uppercase forms, title-cased."
"Nebraska","2020","https://sos.nebraska.gov/sites/default/files/doc/elections/2020/2020-General-Canvass-Book.pdf","2026-08-12","pdf","93","yes","Board of State Canvassers OFFICIAL REPORT, General Election canvass book, 'President and Vice President of the United States' county table, parsed with pdftotext -layout. total_votes = sum of every candidate column plus Write-In Scatterings. County sums reconciled to the canvass book's own statewide Total row. The canvass book's following section, 'Results by Congressional District', is the CD-level split used for Nebraska's district electoral votes and is NOT included here -- these are county returns. 93 counties."
"Nebraska","2024","https://sos.nebraska.gov/sites/default/files/doc/elections/2024/2024%20General%20Canvass%20Book.pdf","2026-08-12","pdf","93","yes","Board of State Canvassers OFFICIAL REPORT, General Election canvass book, 'President and Vice President of the United States' county table, parsed with pdftotext -layout. total_votes = sum of every candidate column plus Write-In Scatterings. County sums reconciled to the canvass book's own statewide Total row. The canvass book's following section, 'Results by Congressional District', is the CD-level split used for Nebraska's district electoral votes and is NOT included here -- these are county returns. 93 counties."
"Nevada","2020","https://www.nvsos.gov/SOSelectionPages/results/2020StateWideGeneral/ElectionSummary.aspx","2026-08-12","html","17","yes","Nevada SoS page headed '2020 Official Statewide General Election Results', contest 'President and Vice President of the United States', which is printed as candidates x counties. nvsos.gov is behind Imperva/Incapsula and returns a bot-check page to every scripted request, so the page was read in a browser and the President table saved verbatim to raw/NV_2020_president.tsv, which this parser reads; each candidate's county figures are checked against that candidate's own TOTAL VOTES cell. total_votes includes NONE OF THESE CANDIDATES, Nevada's statutory ballot line, which is a vote cast in the presidential contest -- AP counts it the same way and the statewide totals agree to the vote. 17 rows = 16 counties plus Carson City, an independent city (FIPS 32510)."
"Nevada","2024","https://www.nvsos.gov/SOSelectionPages/results/2024StateWideGeneral/ElectionSummary.aspx","2026-08-12","html","17","yes","Nevada SoS page headed '2024 Official Statewide General Election Results', contest 'President and Vice President of the United States', which is printed as candidates x counties. nvsos.gov is behind Imperva/Incapsula and returns a bot-check page to every scripted request, so the page was read in a browser and the President table saved verbatim to raw/NV_2024_president.tsv, which this parser reads; each candidate's county figures are checked against that candidate's own TOTAL VOTES cell. total_votes includes NONE OF THESE CANDIDATES, Nevada's statutory ballot line, which is a vote cast in the presidential contest -- AP counts it the same way and the statewide totals agree to the vote. 17 rows = 16 counties plus Carson City, an independent city (FIPS 32510)."
"New Hampshire","2020","https://www.sos.nh.gov/sites/g/files/ehbemt561/files/inline-documents/sonh/2020-president.xls","2026-08-12","xls","10","yes","NH Secretary of State presidential results workbook for the 2020 General Election, first sheet 'Summary By Counties'. NEW HAMPSHIRE REPORTS BY TOWN, but the SoS publishes this county summary itself, so these are the state's own county totals -- no town aggregation was done by us (the remaining sheets in the same workbook give the towns within each county). www.sos.nh.gov answers 403 to scripted requests and the browser would not write the .xls to disk, so the sheet was read in the browser with SheetJS and copied verbatim to raw/NH_2020_president.psv; every column is reconciled to the sheet's own TOTALS row. total_votes = the candidate columns plus write-ins, excluding undervotes and overvotes. The 2020 summary sheet has no write-in column; write-ins were taken per county from the companion workbook 2020-presidential-write-ins.xls ('Summary for web' sheet, 2,372 statewide), so total_votes reconciles to the state's 806,205."
"New Hampshire","2024","https://www.sos.nh.gov/sites/g/files/ehbemt561/files/inline-documents/sonh/2024-ge-president_3.xls","2026-08-12","xls","10","yes","NH Secretary of State presidential results workbook for the 2024 General Election, first sheet 'Summary By Counties'. NEW HAMPSHIRE REPORTS BY TOWN, but the SoS publishes this county summary itself, so these are the state's own county totals -- no town aggregation was done by us (the remaining sheets in the same workbook give the towns within each county). www.sos.nh.gov answers 403 to scripted requests and the browser would not write the .xls to disk, so the sheet was read in the browser with SheetJS and copied verbatim to raw/NH_2024_president.psv; every column is reconciled to the sheet's own TOTALS row. total_votes = the candidate columns plus write-ins, excluding undervotes and overvotes. The 2024 sheet's own Write-Ins column is used. AP's statewide total omits write-ins, so this total runs about 0.5% above it."
"New Jersey","2020","https://www.nj.gov/state/elections/assets/pdf/election-results/2020/2020-official-general-results-president.pdf","2026-08-12","pdf","21","yes","NJ Division of Elections, 'Official List -- Candidates for President, For GENERAL ELECTION', one block per candidate listing that candidate's tally in each of the 21 counties; parsed with pdftotext -layout and pivoted to county rows. total_votes = every candidate on the list (8 in 2020); New Jersey does not carry a presidential write-in line here. County sums reconciled to the per-candidate Total lines. County names are the state's uppercase forms, title-cased."
"New Jersey","2024","https://www.nj.gov/state/elections/assets/pdf/election-results/2024/2024-official-general-results-president.pdf","2026-08-12","pdf","21","yes","NJ Division of Elections, 'Official List -- Candidates for President, For GENERAL ELECTION', one block per candidate listing that candidate's tally in each of the 21 counties; parsed with pdftotext -layout and pivoted to county rows. total_votes = every candidate on the list (9 in 2024); New Jersey does not carry a presidential write-in line here. County sums reconciled to the per-candidate Total lines. County names are the state's uppercase forms, title-cased."
"New Mexico","2020","https://electionresults-api.sos.nm.gov/NMResultsAjax.svc/GetMapDataArchive?type=FED&category=CTY&raceID=6878&osn=102&county=0&party=0&electionID=2782","2026-08-12","json","33","yes","SoS election-results archive, page headed 'Official Results' (https://electionresults.sos.nm.gov/Default.aspx?eid=2782), county map data for race 6878 'President and Vice President of the United States', served as JSON by the site's own NMResultsAjax.svc API. New Mexico MASKS small county candidate counts as '*' for ballot secrecy, so total_votes is recovered as votes/share from the Democratic line rather than by summing; that identity reproduces the plain sum exactly in every county with no masked line. The state writes 'Dona Ana'; the Census name is 'Dona Ana County' with a tilde, mapped explicitly to 35013. 33 counties."
"New Mexico","2024","https://electionresults-api.sos.nm.gov/NMResultsAjax.svc/GetMapDataArchive?type=FED&category=CTY&raceID=10079&osn=102&county=0&party=0&electionID=2882","2026-08-12","json","33","yes","SoS election-results archive, page headed 'Official Results' (https://electionresults.sos.nm.gov/Default.aspx?eid=2882), county map data for race 10079 'President and Vice President of the United States', served as JSON by the site's own NMResultsAjax.svc API. New Mexico MASKS small county candidate counts as '*' for ballot secrecy, so total_votes is recovered as votes/share from the Democratic line rather than by summing; that identity reproduces the plain sum exactly in every county with no masked line. The state writes 'Dona Ana'; the Census name is 'Dona Ana County' with a tilde, mapped explicitly to 35013. 33 counties."
"New York","2020","https://ny.elstats.civera.com/api/download_contest/308_table.csv?split_party=false","2026-08-12","csv","62","yes","NYS Board of Elections 'Elections Database' at results.elections.ny.gov (contest 308, https://results.elections.ny.gov/contest/308) -- the archive the Board's own Election Results page links as ARCHIVED ELECTION RESULTS, compiled from its certified source documents; fetched through that site's county-table CSV export. New York reports the five New York City boroughs as five separate counties -- Bronx 36005, Kings 36047, New York 36061, Queens 36081, Richmond 36085 -- so all 62 counties appear and nothing was split by us. Party lines are fused in New York; the export with split_party=false already combines each nominee's lines (Biden D+WOR, Trump R+CON in 2020; Harris D+WOR, Trump R+CON in 2024). total_votes = the export's 'Total Votes' column LESS its 'Blank' and 'Void' columns, which count ballots with no presidential vote. County sums reconciled to the export's own State row."
"New York","2024","https://ny.elstats.civera.com/api/download_contest/5591_table.csv?split_party=false","2026-08-12","csv","62","yes","NYS Board of Elections 'Elections Database' at results.elections.ny.gov (contest 5591, https://results.elections.ny.gov/contest/5591) -- the archive the Board's own Election Results page links as ARCHIVED ELECTION RESULTS, compiled from its certified source documents; fetched through that site's county-table CSV export. New York reports the five New York City boroughs as five separate counties -- Bronx 36005, Kings 36047, New York 36061, Queens 36081, Richmond 36085 -- so all 62 counties appear and nothing was split by us. Party lines are fused in New York; the export with split_party=false already combines each nominee's lines (Biden D+WOR, Trump R+CON in 2020; Harris D+WOR, Trump R+CON in 2024). total_votes = the export's 'Total Votes' column LESS its 'Blank' and 'Void' columns, which count ballots with no presidential vote. County sums reconciled to the export's own State row."
"North Carolina","2020","https://s3.amazonaws.com/dl.ncsbe.gov/ENRS/2020_11_03/results_pct_20201103.zip","2026-08-12","zip/tsv","100","yes","NCSBE precinct-level export (results_pct), contest 'US PRESIDENT', summed to county. total_votes = every choice including write-in. Published by the State Board after canvass."
"North Carolina","2024","https://s3.amazonaws.com/dl.ncsbe.gov/ENRS/2024_11_05/results_pct_20241105.zip","2026-08-12","zip/tsv","100","yes","NCSBE precinct-level export (results_pct), contest 'US PRESIDENT', summed to county. total_votes = every choice including write-in. Published by the State Board after canvass."
"North Dakota","2020","https://resultsws.sos.nd.gov/ResultsAjax.svc/GetMapDataArchive?type=SW&category=CTY&raceID=14775&osn=100&county=0&party=0&electionID=313","2026-08-12","json","53","yes","County map-data service behind results.sos.nd.gov (ND SoS official results portal), archived election eid=313 = Official 2020 General Election. raceID 14775 = President & Vice-President. total_votes includes Libertarian and write-ins (1929 statewide). Statewide sum 114902 D / 235595 R / 361819 total matches the SoS CSV export for the same election."
"North Dakota","2024","https://resultsws.sos.nd.gov/ResultsAjax.svc/GetMapData?type=SW&category=CTY&raceID=19893&osn=100&county=0&party=0","2026-08-12","json","53","yes","Same service, current-election method (eid 333 = Official 2024 General Election). raceID 19893 = President & Vice-President. D and R match AP exactly; our total_votes is 3096 higher than AP because it includes ND write-in votes (3096 statewide), which AP excludes. The SoS ResultsExport.aspx CSV for the same election gives identical county figures."
"Ohio","2020","https://publicfiles.ohiosos.gov/election-results/past-elections/2020/General%20Election%3A%20November%203%2C%202020/group1/statewideresultsbycounty.xlsx","2026-08-12","xlsx","88","yes","Ohio SoS Data Portal (data.ohiosos.gov/portal/past-election-results) file store; sheet ""President and Vice President"" of statewideresultsbycounty.xlsx, titled ""November 3, 2020 General Election Official Canvass"". total_votes = sum of all 10 listed presidential tickets incl. certified write-ins. ohiosos.gov sits behind a Cloudflare challenge that 403s curl, so the file was retrieved with a real browser; the old /globalassets/ URLs are dead after the 2025 site redesign."
"Ohio","2024","https://publicfiles.ohiosos.gov/election-results/past-elections/2024/General%20Election%3A%20November%205%2C%202024/group1/statewide-race-summary.xlsx","2026-08-12","xlsx","88","yes","Same file store; sheet ""President and Vice President"" of statewide-race-summary.xlsx, titled ""November 5, 2024 General Election Official Canvass"". D and R match AP exactly; our total_votes is 2771 higher than AP because it includes the 14 certified write-in tickets Ohio lists separately."
"Oklahoma","2020","https://results.okelections.gov/OKERS/enrapi/GetCntyResults/20201103/10001","2026-08-12","json","77","yes","Oklahoma State Election Board results service -- the JSON API that backs https://results.okelections.us/OKER/?elecDate=20201103, the page the Board's own 2020 General Election results page links to. The election record returns isOfficial=true and is titled 'Official Results'. Race 10001 'FOR ELECTORS FOR PRESIDENT AND VICE PRESIDENT'. total_votes is the API's own per-county totResults; Oklahoma does not permit presidential write-ins, so it is the sum of the 6 listed tickets. 77 counties."
"Oklahoma","2024","https://results.okelections.gov/OKERS/enrapi/GetCntyResults/20241105/10001","2026-08-12","json","77","yes","Oklahoma State Election Board results service -- the JSON API that backs https://results.okelections.us/OKER/?elecDate=20241105, the page the Board's own 2024 General Election results page links to. The election record returns isOfficial=true and is titled 'Official Results'. Race 10001 'ELECTORS FOR PRESIDENT AND VICE PRESIDENT'. total_votes is the API's own per-county totResults; Oklahoma does not permit presidential write-ins, so it is the sum of the 5 listed tickets. 77 counties."
"Oregon","2020","https://digitalcollections.library.oregon.gov/assets/displaypdf/208504","2026-08-12","pdf","36","yes","Oregon Elections Division / Secretary of State, '2020 General Election Abstract of Votes', US President table, parsed with pdftotext -layout. Retrieved from the Oregon Documents Depository run by the State Library of Oregon (record https://digitalcollections.library.oregon.gov/nodes/view/208504); the Secretary of State's own copy under sos.oregon.gov/elections/Documents/results/ now returns 404 and the 'Election Results & History' page no longer links results at all. total_votes = every candidate column plus the abstract's 'Misc.' column, which is Oregon's write-in and miscellaneous line -- so the total runs about 0.7% above AP's, which omits it. County sums reconciled to the abstract's own Total row. 36 counties."
"Oregon","2024","https://digitalcollections.library.oregon.gov/assets/displaypdf/292513","2026-08-12","pdf","36","yes","Oregon Elections Division / Secretary of State, '2024 General Election Abstract of Votes', US President table, parsed with pdftotext -layout. Retrieved from the Oregon Documents Depository run by the State Library of Oregon (record https://digitalcollections.library.oregon.gov/nodes/view/292513); the Secretary of State's own copy under sos.oregon.gov/elections/Documents/results/ now returns 404 and the 'Election Results & History' page no longer links results at all. total_votes = every candidate column plus the abstract's 'Misc.' column, which is Oregon's write-in and miscellaneous line -- so the total runs about 0.7% above AP's, which omits it. County sums reconciled to the abstract's own Total row. 36 counties."
"Pennsylvania","2020","https://www.electionreturns.pa.gov/api/ElectionReturn/GetCountyBreak?officeId=1&districtId=1&methodName=GetCountyBreak&electionid=83&electiontype=G&isactive=0","2026-08-12","json","67","yes","Official county breakdown API behind electionreturns.pa.gov (PA Dept of State). electionid=83 = 2020 Presidential Election. total_votes = sum of all listed candidates incl. Libertarian and other parties; PA does not report write-ins separately in this feed. Statewide sum 3458229 D / 3377674 R / 6915283 total matches PA certified. Site is behind Imperva/Incapsula; needed browser user-agent."
"Pennsylvania","2024","https://www.electionreturns.pa.gov/api/ElectionReturn/GetCountyBreak?officeId=1&districtId=1&methodName=GetCountyBreak&electionid=105&electiontype=G&isactive=0","2026-08-12","json","67","yes","Same API, electionid=105 = 2024 Presidential Election. Statewide sum matches AP crosscheck exactly (3423042 D / 3543308 R / 7034206 total)."
"Rhode Island","2020","https://www.ri.gov/election/results/2020/general_election/data/rigen2020l.zip","2026-08-12","txt","40","yes","RI Board of Elections precinct results data file (long format, fixed-width, layout documented at ri.gov/election/results/20220819_data_description.pdf), contest 'Presidential Electors For:', summed from precinct to city/town. NOT COUNTY ROWS: Rhode Island publishes no county-level presidential returns. Its five counties have had no county government since 1846, the Board reports only by city/town and precinct, and the data file has no county field -- the string 'Countywide' in it denotes a statewide contest. With no state-supplied town-to-county mapping, no aggregation was invented; county_fips is empty for every row per SPEC rule 5. In 2020 the file also carries four 'Federal Precinct' units -- overseas/UOCAVA federal-only ballots not attributable to any town -- combined here into a single extra row so the statewide total still reconciles. total_votes = all presidential candidates plus the write-in line, which runs about 0.5%% above AP's figure. The parsed CSV is committed; the ~1 MB source zip is not. Posted as official results (2024 file stamped November 22, 2024)."
"Rhode Island","2024","https://www.ri.gov/election/results/2024/general_election/data/rigen2024l.zip","2026-08-12","txt","40","yes","RI Board of Elections precinct results data file (long format, fixed-width, layout documented at ri.gov/election/results/20220819_data_description.pdf), contest 'Presidential Electors For:', summed from precinct to city/town. NOT COUNTY ROWS: Rhode Island publishes no county-level presidential returns. Its five counties have had no county government since 1846, the Board reports only by city/town and precinct, and the data file has no county field -- the string 'Countywide' in it denotes a statewide contest. With no state-supplied town-to-county mapping, no aggregation was invented; county_fips is empty for every row per SPEC rule 5. In 2020 the file also carries four 'Federal Precinct' units -- overseas/UOCAVA federal-only ballots not attributable to any town -- combined here into a single extra row so the statewide total still reconciles. total_votes = all presidential candidates plus the write-in line, which runs about 0.5%% above AP's figure. The parsed CSV is committed; the ~1 MB source zip is not. Posted as official results (2024 file stamped November 22, 2024)."
"South Carolina","2020","https://www.enr-scvotes.org/SC/106502/277849/reports/detailxml.zip","2026-08-12","xml","46","yes","South Carolina State Election Commission's official results system (enr-scvotes.org, a Clarity Elections instance), linked from scvotes.gov/data/election-results/. TO REDO THE FETCH: Clarity hides the export behind a version number -- GET https://www.enr-scvotes.org/SC/<electionId>/current_ver.txt (strip the trailing newline), then GET https://www.enr-scvotes.org/SC/<electionId>/<version>/reports/detailxml.zip, which contains a single detail.xml. In it, find the Contest whose text is 'President and Vice President' (key 20500). Each Choice carries a party attribute and is broken down by VoteType and then by County. THERE IS NO 'Total' VoteType -- the vote types are the components (Election Day, Absentee By Mail, In-Person Absentee / Early Voting, Provisional, Failsafe, Failsafe Provisional) and a county's figure is the sum across all of them; filtering for a Total VoteType yields zero rows. votes_dem = the DEM Choice, votes_gop = REP, total_votes = every Choice summed. There is no write-in Choice: South Carolina's certified presidential return lists only ballot-qualified tickets, which is why total_votes equals the AP crosscheck exactly instead of exceeding it. ELECTION: id 106502, '2020 Statewide General Election', 11/3/2020, current version 277849, snapshot timestamped 6/30/2021 -- months after the State Board of Canvassers certified, so this is the certified return, not an election-night snapshot. Five tickets: Trump REP, Biden DEM, Jorgensen LIB, Hawkins GRN, De La Fuente ALN. The separate '2020 General Election Recount' event (id 107183) on the same page covers other contests; the presidential margin was far outside recount range. EXISTING FILE VERIFIED AGAINST THIS SOURCE, NOT REFETCHED -- all 46 counties agree exactly on votes_dem, votes_gop and total_votes; statewide D 1,091,541 / R 1,385,103 / T 2,513,329. No change made to states/SC_2020.csv."
"South Carolina","2024","https://www.enr-scvotes.org/SC/122436/359624/reports/detailxml.zip","2026-08-12","xml","46","yes","South Carolina State Election Commission's official results system (enr-scvotes.org, a Clarity Elections instance), linked from scvotes.gov/data/election-results/. TO REDO THE FETCH: Clarity hides the export behind a version number -- GET https://www.enr-scvotes.org/SC/<electionId>/current_ver.txt (strip the trailing newline), then GET https://www.enr-scvotes.org/SC/<electionId>/<version>/reports/detailxml.zip, which contains a single detail.xml. In it, find the Contest whose text is 'President and Vice President' (key 20500). Each Choice carries a party attribute and is broken down by VoteType and then by County. THERE IS NO 'Total' VoteType -- the vote types are the components (Election Day, Absentee By Mail, In-Person Absentee / Early Voting, Provisional, Failsafe, Failsafe Provisional) and a county's figure is the sum across all of them; filtering for a Total VoteType yields zero rows. votes_dem = the DEM Choice, votes_gop = REP, total_votes = every Choice summed. There is no write-in Choice: South Carolina's certified presidential return lists only ballot-qualified tickets, which is why total_votes equals the AP crosscheck exactly instead of exceeding it. ELECTION: id 122436, '2024 Statewide General Election', current version 359624, snapshot timestamped 7/30/2025, well after certification. Seven tickets: Trump REP, Harris DEM, Oliver LIB, Stein GRN, West UNC, Terry CON, De La Cruz WRK. Note that unlike 2020 the detailxls.zip export 404s for this election; only detailxml.zip is served. The separate '2024 General Election Recounts' and 'Runoffs' events (ids 122917, 122966) cover other contests. EXISTING FILE VERIFIED AGAINST THIS SOURCE, NOT REFETCHED -- all 46 counties agree exactly on all three vote columns; statewide D 1,028,452 / R 1,483,747 / T 2,548,140, which equals the AP crosscheck on all three because there is no write-in line to differ over. No change made to states/SC_2024.csv."
"South Dakota","2020","https://sdsos.gov/elections-voting/assets/Archive/2020%20Assests/2020GeneralStateCanvassFinal&Certificate.pdf","2026-08-12","pdf","66","yes","South Dakota Secretary of State, '2020 General Election Official State Canvass Results', linked from sdsos.gov/elections-voting/election-resources/election-history/2020_Election_History.aspx. The document opens with the signed Board of Canvassers certificate ('We, Steve Barnett, Shirley Jameson-Fergel, Katie Hruska and Jeff Tronvold, the Board of Canvassers... hereby certify'), so it is unambiguously the certified canvass, not the election-night feed at electionresults.sd.gov (which the SoS itself labels 'Unofficial Results'). Table 'Presidential Electors', one row per county, three candidate columns in this order: Trump/Pence REP, Jorgensen/Cohen LIB, Biden/Harris DEM -- note the Democratic column is THIRD, not second. total_votes = the sum of all three columns; South Dakota certified no presidential write-in candidates in 2020 and the canvass has no write-in column, which is why total_votes equals the AP crosscheck exactly rather than exceeding it. The trailing 'Total' row (261,043 / 11,095 / 150,471) must be dropped. County names are the state's own and include Oglala Lakota, which resolves to FIPS 46102. NOTE: the PDF is a scan-derived file whose first pages OCR into noise; the results tables themselves extract cleanly with pdftotext -layout. EXISTING FILE VERIFIED AGAINST THIS SOURCE, NOT REFETCHED -- all 66 counties agree exactly on votes_dem, votes_gop and total_votes; statewide D 150,471 / R 261,043 / T 422,609, matching the canvass Total row. No change made to states/SD_2020.csv."
"South Dakota","2024","https://sdsos.gov/elections-voting/assets/Archive/2024%20Assets/Recount-Canvass-and-Canvass-Docs-General/2024GeneralElectionCanvassWithCert.pdf","2026-08-12","pdf","66","yes","South Dakota Secretary of State, '2024 General Election Canvass and Certificate', linked from sdsos.gov/elections-voting/election-resources/election-history/2024_Election_History.aspx. Chosen over the '2024 General - Election Night Reporting' link on the same page, which is the unofficial feed. Table 'Presidential Electors', one row per county, four candidate columns in this order: Harris/Walz DEM, Oliver/ter Maat LIB, Trump/Vance REP, Kennedy/Shanahan IND -- the column order differs from the 2020 canvass, so the header must be read rather than assumed. total_votes = the sum of all four columns; there is no write-in column, and total_votes accordingly equals the AP crosscheck exactly. Drop the trailing 'Total' row (146,859 / 2,778 / 272,081 / 7,204 = 428,922). A separate 2024 General Election State Recount Certificate on the same page covers a legislative contest, not the presidential race. EXISTING FILE VERIFIED AGAINST THIS SOURCE, NOT REFETCHED -- all 66 counties agree exactly on all three vote columns; statewide D 146,859 / R 272,081 / T 428,922. No change made to states/SD_2024.csv."
"Tennessee","2020","https://sos-tn-gov-files.tnsosfiles.com/Nov%202020%20General%20by%20County.pdf","2026-08-12","pdf","95","yes","Tennessee Secretary of State, 'State of Tennessee, November 3, 2020, State General -- Results by County', linked from sos.tn.gov/elections/results under 2020 Election Results. Every page is footer-stamped 'December 2. 2020', after the state primary and general election certification, so these are the certified county totals. PARSE ASSUMPTION, AND IT MATTERS: the presidential contest is printed as TWO SEPARATE COLUMN BLOCKS. The first block carries numbered candidates 1-10 (Trump R, Biden D, Blankenship, De La Fuente, Hawkins, Jorgensen, Kennedy, La Riva, West, and Write-In Boddie); a SECOND block further down the document repeats all 95 counties for candidates 11-14 (Write-In Carroll, Hoefling, Simmons, Wells, statewide 762/31/68/0 = 861 votes). Reading only the first block loses those 861 votes. votes_dem = column 2, votes_gop = column 1, total_votes = the sum of all fourteen columns across both blocks. Both blocks span two pages each, so each county name appears four times in the extracted text. NAME QUIRK: the county is spelled 'Dekalb' in the first block and 'DeKalb' in the second; the second-block figures for it are all zero, so nothing is lost, but a case-sensitive match will create a phantom 96th county. Checked against the report's own STATE TOTALS rows. EXISTING FILE VERIFIED AGAINST THIS SOURCE, NOT REFETCHED -- all 95 counties agree exactly on votes_dem, votes_gop and total_votes; statewide D 1,143,711 / R 1,852,475 / T 3,053,851. No change made to states/TN_2020.csv."
"Tennessee","2024","https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyCounty.pdf","2026-08-12","pdf","95","yes","Tennessee Secretary of State, 'State of Tennessee, November 5, 2024, State General -- Results by County', linked from sos.tn.gov/elections/results under 2024 Election Results. Pages footer-stamped 'December 2, 2024', after certification. Unlike 2020 the presidential contest is a SINGLE block of seven numbered candidates (1 Trump R, 2 Harris D, 3 Bowman, 4 De la Cruz, 5 Fruit, 6 Kennedy, 7 Stein) with no write-in columns -- Tennessee certified no presidential write-in candidates in 2024. votes_dem = column 2, votes_gop = column 1, total_votes = the sum of all seven columns. The block spans two pages, so each county name appears twice in the extracted text, and the 'STATE TOTALS' row must be dropped or it doubles the state. Checked against that STATE TOTALS row (1,966,865 / 1,056,265 / 5,865 / 3,457 / 988 / 21,535 / 8,967 = 3,063,942). EXISTING FILE VERIFIED AGAINST THIS SOURCE, NOT REFETCHED -- all 95 counties agree exactly on all three vote columns; statewide D 1,056,265 / R 1,966,865 / T 3,063,942, which equals the AP crosscheck total exactly because there were no write-ins to differ over. No change made to states/TN_2024.csv."
